Fecha de Scraping,Título,Descripción
2024-06-23 16:06:43,"Apartamento en Arriendo, LOS ROSALES EMAUS, Bogotá D.C.",$6.700.000 | 206 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, LA TOMATERA, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO SAN LUCAS, Medellín",$11.000.000 | 300 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, Toledo, La Estrella",$11.000.000 | 300 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, Toledo, La Estrella",
2024-06-23 16:06:43,"Apartamento en Arriendo, La Ceja",$7.300.000 | 185 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA ANA ORIENTAL, Bogotá D.C.",$7.300.000 | 185 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO NORTE, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, CHAPINERO ALTO, Bogotá D.C.",$7.150.000 | 540 m² | 5 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO LA CALERA, Medellín",$7.150.000 | 540 m² | 5 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO LOS BALSOS, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, MILLA DE ORO, Medellín",$14.000.000 | 400 m² | 4 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, san patricio santa barbara, Bogotá D.C.",$14.000.000 | 400 m² | 4 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO  CAMPESTRE, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO LOS BALSOS, Medellín",$12.500.000 | 284 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, LA COLA DEL ZORRO, Medellín",$12.500.000 | 284 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO DE SANTA MARIA DE L…",
2024-06-23 16:06:43,"Apartamento en Arriendo, Loma de las Brujas  Envigado, Envigado",294 | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO LA CALERA, Medellín",65.84 | 1 | 2
2024-06-23 16:06:43,"Apartamento en Arriendo, LALINDE, Medellín",95 | 3 | 2
2024-06-23 16:06:43,"Apartamento en Arriendo, LAS ROSALES, Bogotá D.C.",$12.500.000 | 350 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, CHAPINERO ALTO, Bogotá D.C.",$12.500.000 | 350 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO AMOBLADO EDIF VITRA 93, Bo…",
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA BIBIANA, Bogotá D.C.",$6.000.000 | 343 m² | 5 | 2
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA CRUZ, Cajicá",$6.000.000 | 343 m² | 5 | 2
2024-06-23 16:06:43,"Apartamento en Arriendo, LAS LOMAS NO 2, Medellín",
2024-06-23 16:06:43,"Casa en Arriendo, Maraya, Pereira",$15.600.000 | 384 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO NORTE, Bogotá D.C.",$15.600.000 | 384 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$5.800.000 | 200 m² | 4 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$5.800.000 | 200 m² | 4 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, LOMA DEL INDIO, Medellín",$6.700.000 | 230 m² | 3 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, LA SERENA, Bogotá D.C.",$6.700.000 | 230 m² | 3 | 3
2024-06-23 16:06:43,"Apartaestudio en Arriendo, CIUDAD DEL RIO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, LOS BALSOS NO 2, Medellín",$41.000.000 | 1100 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, PATIO BONITO, Medellín",$41.000.000 | 1100 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL CAMPESTRE, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, LAS ROSALES, Bogotá D.C.",$6.000.000 | 340 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, Piedecuesta",$6.000.000 | 340 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, PARQUE DEL VIRREY, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$16.500.000 | 608 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$16.500.000 | 608 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, PATIO BONITO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$26.500.000 | 850 m² | 4 | 5
